Date,AVGO,NOW,TSLA,AMZN,IRDM,BR,PYACX,SIGAX,gold,palladium,S&P 500
2015-01-13,102.58,67.27,204.25,294.74,9.32,46.78,11.22,12.46,1304.5,815.7,2023.03
2015-01-14,103.39,66.34,192.69,293.27,9.12,46.39,11.23,12.45,1294.5,780.65,2011.27
2015-01-15,101.32,63.63,191.87,286.95,8.63,45.94,11.27,12.46,1322.8,766.35,1992.67
2015-01-16,103.82,63.96,193.07,290.74,8.84,46.76,11.23,12.43,1334.9,754.3,2019.42
2015-01-20,104.87,64.83,191.93,289.44,9.11,46.5,11.26,12.45,1352.4,778.75,2022.55
2015-01-21,105.38,65.52,196.57,297.25,9.11,46.55,11.23,12.43,1353.4,768.8,2032.12
2015-01-22,105.2,66.14,201.62,310.32,9.33,47.47,11.2,12.43,1365.2,772.9,2063.15
2015-01-23,106.98,68.74,201.29,312.39,9.29,47.64,11.26,12.5,1357.6,774.85,2051.82
2015-01-26,106.73,68.01,206.55,309.66,9.41,48.51,11.26,12.5,1345.6,782.55,2057.09
2015-01-27,104.79,67.91,205.98,306.75,9.09,48.17,11.27,12.5,1354.7,782.05,2029.55
2015-01-28,105.0,68.91,199.37,303.91,8.96,47.8,11.33,12.56,1346.9,797.0,2002.16
2015-01-29,106.53,73.88,205.2,311.78,8.85,48.42,11.28,12.54,1315.8,772.35,2021.25
2015-01-30,102.88,72.9,203.6,354.53,8.51,47.99,11.34,12.58,1336.6,773.15,1994.99
2015-02-02,102.42,72.99,210.94,364.47,8.51,48.47,11.34,12.59,1334.4,788.8,2020.85
2015-02-03,103.2,72.65,218.36,363.55,8.79,49.33,11.28,12.54,1319.3,786.3,2050.03
2015-02-04,104.8,74.61,218.55,364.75,8.75,49.4,11.27,12.55,1325.4,790.5,2041.51
2015-02-05,106.2,74.22,220.99,373.89,8.71,50.92,11.26,12.55,1323.9,796.6,2062.52
2015-02-06,104.74,74.94,217.36,374.28,8.67,51.39,11.2,12.51,1301.6,781.6,2055.47
2015-02-09,102.24,72.88,217.48,370.56,8.57,50.95,11.2,12.5,1308.9,780.6,2046.74
2015-02-10,107.04,73.32,216.29,373.0,8.6,51.81,11.17,12.47,1300.2,766.75,2068.59
2015-02-11,107.94,73.88,212.8,375.14,9.2,51.78,11.18,12.47,1288.2,767.75,2068.53
2015-02-12,109.7,75.95,202.88,377.17,9.35,52.88,11.19,12.48,1287.7,774.9,2088.48
